id,label
1,0.615663
2,0.572208
3,0.849007
4,0.782893
5,0.230423
6,0.257712
7,0.150758
8,0.292495
9,0.152857
10,0.15961
11,0.152609
12,0.505724
13,0.156097
14,0.156041
15,0.154594
16,0.143248
17,0.632132
18,0.42341
19,0.136136
20,0.164101
21,0.857454
22,0.160185
23,0.762374
24,0.605542
25,0.147092
26,0.245005
27,0.341896
28,0.149891
29,0.228022
30,0.710846
31,0.849445
32,0.289998
33,0.561313
34,0.149703
35,0.153472
36,0.156519
37,0.150353
38,0.155228
39,0.72206
40,0.158248
41,0.802102
42,0.842503
43,0.849017
44,0.279505
45,0.159321
46,0.760608
47,0.152963
48,0.487061
49,0.807265
50,0.196109
51,0.148639
52,0.151669
53,0.201614
54,0.147467
55,0.159933
56,0.819804
57,0.809693
58,0.152915
59,0.779593
60,0.158311
61,0.146315
62,0.820064
63,0.139101
64,0.182707
65,0.829913
66,0.841591
67,0.84851
68,0.156607
69,0.373314
70,0.835496
71,0.232594
72,0.697274
73,0.765652
74,0.501524
75,0.492878
76,0.849467
77,0.660404
78,0.236406
79,0.747049
80,0.138498
81,0.379454
82,0.154839
83,0.795734
84,0.144553
85,0.777955
86,0.609534
87,0.754268
88,0.777464
89,0.150543
90,0.177417
91,0.142045
92,0.156856
93,0.179423
94,0.64111
95,0.577003
96,0.169308
97,0.783879
98,0.713359
99,0.151428
100,0.180129
101,0.146923
102,0.735158
103,0.158988
104,0.166939
105,0.859721
106,0.57846
107,0.16306
108,0.19517
109,0.217165
110,0.750694
111,0.233274
112,0.733252
113,0.512985
114,0.153232
115,0.217338
116,0.144848
117,0.148507
118,0.799063
119,0.716606
120,0.194091
121,0.149633
122,0.153308
123,0.150644
124,0.137304
125,0.147565
126,0.222304
127,0.785732
128,0.178656
129,0.154985
130,0.208972
131,0.379585
132,0.853919
133,0.172493
134,0.141523
135,0.179461
136,0.14759
137,0.847866
138,0.186699
139,0.48772
140,0.162933
141,0.161878
142,0.770382
143,0.839337
144,0.377994
145,0.148826
146,0.732783
147,0.798475
148,0.163421
149,0.178975
150,0.149126
151,0.464875
152,0.145635
153,0.152863
154,0.174294
155,0.485641
156,0.145843
157,0.168425
158,0.854538
159,0.855468
160,0.221213
161,0.154426
162,0.176048
163,0.176498
164,0.805817
165,0.159057
166,0.148806
167,0.836712
168,0.155101
169,0.156143
170,0.253668
171,0.4526
172,0.471586
173,0.428147
174,0.163214
175,0.784505
176,0.362625
177,0.687381
178,0.398709
179,0.552288
180,0.146543
181,0.85295
182,0.789798
183,0.14603
184,0.15116
185,0.167213
186,0.151919
187,0.147007
188,0.155307
189,0.159794
190,0.486988
191,0.15424
192,0.243342
193,0.142477
194,0.149851
195,0.385689
196,0.319034
197,0.409567
198,0.139172
199,0.646222
200,0.557193
201,0.844995
202,0.161837
203,0.789243
204,0.709623
205,0.148486
206,0.178466
207,0.835283
208,0.1369
209,0.168113
210,0.151241
211,0.82792
212,0.764155
213,0.192788
214,0.579782
215,0.779742
216,0.771951
217,0.826036
218,0.147395
219,0.432384
220,0.80037
221,0.16152
222,0.816383
223,0.662234
224,0.153746
225,0.851647
226,0.852842
227,0.585949
228,0.15933
229,0.827749
230,0.239497
231,0.622765
232,0.17846
233,0.166714
234,0.148625
235,0.351258
